OAXACA,AEROMEXICO,AM 2044,06:05,A TIEMPO,S/D
MEXICALI,VOLARIS,Y4 752,21:35,A TIEMPO,B
BOGOTA CO,AEROMEXICO,AM 717,00:10,A TIEMPO,S/D
QUITO,AEROMEXICO,AM 684,00:20,A TIEMPO,S/D
BOGOTA CO,AVIANCA,AV 187,00:30,A TIEMPO,J
TOKIO-NRT,AEROMEXICO,AM 58,00:40,A TIEMPO,S/D
CHICAGO,VOLARIS,Y4 826,00:45,A TIEMPO,J
TOKIO-NRT,ANA,NH 179,01:05,A TIEMPO,G
BOGOTA CO,VOLARIZ,Y4 312,01:25,A TIEMPO,G
PANAMA,COPA AIRLINES,CM 149,01:55,A TIEMPO,S/D
TIJUANA,VOLARIS,Y4 5868,03:40,A TIEMPO,G
ESTAMBUL,TURKISH AIRLINES,TK 190,03:45,A TIEMPO,G
HOUSTON IA,UNITED,UA 1085,04:40,A TIEMPO,J
BOGOTA CO,AVIANCA,AV 45,04:55,A TIEMPO,J
DALLAS,AMERICAN AIRLINES,AA 1066,05:00,A TIEMPO,J
MEDELLIN,AVIANCA,AV 235,05:00,A TIEMPO,J
TIJUANA,VIVA,VB 1232,05:00,A TIEMPO,B
MONTERREY,VOLARIS,Y4 180,05:00,A TIEMPO,B
GUADALAJARA,VOLARIS,Y4 744,05:05,A TIEMPO,B
S.FRANCISCO,UNITED,UA 820,05:05,A TIEMPO,J
MIAMI,AMERICAN AIRLINES,AA 1498,05:25,A TIEMPO,J
REYNOSA,VIVA,VB 1192,05:30,A TIEMPO,B
MONTERREY,VIVA,VB 1120,05:40,A TIEMPO,B
SJ. D CABO,VOLARIS,Y4 612,05:50,A TIEMPO,B
PANAMA,COPA AIRLINES,CM 195,05:50,A TIEMPO,S/D
ZACATECAS,AEROMEXICO,AM 2642,06:00,A TIEMPO,S/D
CULIACAN,VIVA,VB 1312,06:00,A TIEMPO,G
P.ESCONDIDO,VIVA,VB 1180,06:00,A TIEMPO,B
GUADALAJARA,AEROMEXICO,AM 200,06:00,A TIEMPO,S/D
